Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Bicamada,KCl,0.1,0.03,10,0,1,neg,8.110866898884221e-05,3.0503941861633176e-06,0.0,0.0,0.0,0.0
Bicamada,KCl,0.1,0.03,10,0,2,neg,8.116491699183825e-05,3.03015888588286e-06,5.6248002996047347e-08,2.0250013167028316e-08,1.3617146590425907e-06,4.405974455307621e-06
Bicamada,KCl,0.1,0.03,10,0,3,neg,8.12079541295437e-05,3.0310403442111815e-06,4.303713770544467e-08,1.079079149448047e-08,2.234661013735006e-06,2.1175459497421743e-06
Bicamada,KCl,0.1,0.03,10,0,4,neg,8.12344264886633e-05,3.0181575110575964e-06,2.647235911960855e-08,1.3057641018877656e-08,1.7932909792547306e-06,3.632940376114933e-06
Bicamada,KCl,0.1,0.03,10,0,5,neg,8.126152495909385e-05,3.023867859467727e-06,2.7098470430545027e-08,7.132621974641704e-09,4.5795892915395e-06,5.5261360853376865e-06
Bicamada,KCl,0.1,0.03,10,0,6,neg,8.128093698663481e-05,3.0172709444746306e-06,1.941202754096594e-08,9.976372405837573e-09,2.5155325854368965e-06,5.728862176897857e-06
Bicamada,KCl,0.1,0.03,10,0,7,neg,8.130690131717226e-05,3.0210881116954597e-06,2.5964330537438702e-08,6.290879450865206e-09,3.5545987944522956e-06,4.5537554935996525e-06
Bicamada,KCl,0.1,0.03,10,0,8,neg,8.131734989547112e-05,3.016912623738097e-06,1.0448578298867991e-08,9.720139888466212e-09,3.749465026276251e-06,5.3036342549662235e-06
Bicamada,KCl,0.1,0.03,10,0,9,neg,8.133174939454572e-05,3.0146555845328192e-06,1.4399499074594741e-08,8.385651175343345e-09,3.2494810848373136e-06,5.336518383056244e-06
Bicamada,KCl,0.1,0.03,10,0,10,neg,8.134583458740963e-05,3.0185945284548934e-06,1.4085192863907045e-08,4.962815254011601e-09,5.057819068873858e-06,9.246129465264379e-07
Bicamada,KCl,0.1,0.03,10,0,11,pos,8.126085989109318e-05,3.043302521383726e-06,-8.497469631644587e-08,4.3483066788321984e-08,4.018330921370187e-06,5.988021464136931e-06
Bicamada,KCl,0.1,0.03,10,0,12,pos,8.12096433643698e-05,3.053350993171846e-06,-5.121652672339372e-08,1.0049691126639785e-08,2.7283744427420583e-06,5.107839554707775e-06
Bicamada,KCl,0.1,0.03,10,0,13,pos,8.117704927220377e-05,3.0486819280574117e-06,-3.2594092166007946e-08,4.671793882470481e-09,2.731672066938625e-06,3.6292953082220358e-06
Bicamada,KCl,0.1,0.03,10,0,14,pos,8.11464013471171e-05,3.0551599242121507e-06,-3.0647925086668706e-08,1.3524608233892762e-08,2.92451693881062e-06,2.593239044996907e-06
Bicamada,KCl,0.1,0.03,10,0,15,pos,8.113487501759664e-05,3.0446601883637954e-06,-1.1526329520468914e-08,1.1583369663323046e-08,2.719066132298263e-06,6.8204610454760285e-06
Bicamada,KCl,0.1,0.03,10,0,16,pos,8.111771080621111e-05,3.0489729668271157e-06,-1.7164211385534145e-08,8.694518175896638e-09,2.3572549944806767e-06,3.188002898047079e-06
Bicamada,KCl,0.1,0.03,10,0,17,pos,8.11020553707446e-05,3.052173319702462e-06,-1.5655435466518004e-08,4.2300661725186315e-09,3.458192414637556e-06,5.137970945946188e-06
Bicamada,KCl,0.1,0.03,10,0,18,pos,8.109050888075824e-05,3.056567157923633e-06,-1.154648998635821e-08,8.072040233829395e-09,3.5224197116728397e-06,4.07595764813866e-06
Bicamada,KCl,0.1,0.03,10,0,19,pos,8.108357049726085e-05,3.05314403616338e-06,-6.938383497375374e-09,3.5198958424941136e-09,3.979927569613621e-06,3.779088162214124e-06
Bicamada,KCl,0.1,0.03,10,0,20,pos,8.107160488179943e-05,3.052473632420101e-06,-1.1965615461425235e-08,4.3411248130012765e-09,2.5033739295069867e-06,2.720930182646829e-06
Bicamada,KCl,0.1,0.03,10,0,21,neg,8.112735122267623e-05,3.0430584818185927e-06,5.574634087679443e-08,2.7197106028098054e-08,2.7464521652893095e-06,2.113881251844661e-06
Bicamada,KCl,0.1,0.03,10,0,22,neg,8.118461755657336e-05,3.0305089389004685e-06,5.7266333897136946e-08,1.946341469285423e-08,3.8942875860108325e-06,1.748860023024078e-06
Bicamada,KCl,0.1,0.03,10,0,23,neg,8.123280372274166e-05,3.023804437231564e-06,4.8186166168302434e-08,7.100971324410866e-09,-1.3027516414673557e-07,2.9033330565916414e-06
Bicamada,KCl,0.1,0.03,10,0,24,neg,8.126740347809876e-05,3.027600275352141e-06,3.4599755357097216e-08,4.117046654650538e-09,4.055922559818529e-06,4.3727274898376925e-06
Bicamada,KCl,0.1,0.03,10,0,25,neg,8.128439897821711e-05,3.022637627859556e-06,1.699550011835075e-08,5.4447527622832035e-09,3.670499106412338e-06,3.133429258593464e-06
Bicamada,KCl,0.1,0.03,10,0,26,neg,8.13025232370516e-05,3.0137293079466903e-06,1.8124258834485137e-08,8.971946103213532e-09,4.176105779788262e-06,5.883915849696964e-06
Bicamada,KCl,0.1,0.03,10,0,27,neg,8.132532730087405e-05,3.0185797413781196e-06,2.280406382245322e-08,4.852054750740412e-09,5.785283026893638e-06,2.932852244453635e-06
Bicamada,KCl,0.1,0.03,10,0,28,neg,8.134220888678101e-05,3.023782066551243e-06,1.6881585906958207e-08,6.95637427330537e-09,6.326064607462792e-06,2.211262785049983e-06
Bicamada,KCl,0.1,0.03,10,0,29,neg,8.135700719928234e-05,3.0280489269669384e-06,1.479831250131765e-08,8.961497261788846e-09,3.8080045927754162e-06,7.322805807443227e-06
